Model,Term,B,SE,t,p
Withdrawal model,const,1.9971221683879106,0.2930872271650688,6.814088036880288,2.798941326495458e-11
Withdrawal model,offline_bullying_T1,0.21505962138871604,0.0517976788394833,4.151916190205509,3.890134138976541e-05
Withdrawal model,cyberbullying_T1,0.3846964385845817,0.06359265801697392,6.049384482118988,2.8930103604672624e-09
Withdrawal model,family_support_T1,-0.08469273387328922,0.028126806297195113,-3.011103819552205,0.0027376617260484112
Withdrawal model,offline_x_family,-0.09452623766456353,0.03256932568250981,-2.902308711762045,0.0038714508699264605
Withdrawal model,cyber_x_family,-0.06146248095471518,0.030721723427812667,-2.000619564821439,0.04598575258780702
Withdrawal model,age,-0.012702716258494652,0.010213503081030088,-1.2437178662126094,0.2141993064247465
Withdrawal model,gender,-0.005372081274684828,0.04872782577723203,-0.11024668531783581,0.91225896893088
Withdrawal model,parent_edu,0.016236448048253492,0.05549778953694449,0.29256026562003884,0.7699823821545607
Withdrawal model,low_income,-0.03981819982582872,0.059521748259529474,-0.6689689229592446,0.5038309922799178
Withdrawal model,recruit_source,0.0034131286919589776,0.05566836534537818,0.06131181813554634,0.9511359295361772
Depression model,const,-2.7623075665527725,1.2135836753533729,-2.276157485184069,0.02326722134837403
Depression model,withdrawal_T2,1.8944075804475093,0.23925752506203002,7.917859970993031,1.629942052265477e-14
Depression model,offline_bullying_T1,0.3332793303117755,0.27407362446412964,1.2160211730092787,0.2245623400196215
Depression model,cyberbullying_T1,-0.3277244286108682,0.34301232219696043,-0.9554304828229646,0.3398311592433193
Depression model,depression_T1,0.9014490335651275,0.0462799812878857,19.478163311208853,5.307858561574292e-63
Depression model,age,-0.027599520286355646,0.05385452577511116,-0.5124828394480218,0.6085440530727544
Depression model,gender,0.0359223878698056,0.2565321187115662,0.14003076125604064,0.8886932259342749
Depression model,parent_edu,-0.47020557979241306,0.29124954164411165,-1.614442299679133,0.10707524393593205
Depression model,low_income,-0.3546840776835746,0.31373996891962663,-1.13050332383515,0.2588172407927112
Depression model,recruit_source,-0.22194249938087007,0.2934174035609869,-0.7564053688953705,0.4497696973848099
Anxiety model,const,-2.9216948217798455,1.1661723142008826,-2.50537145000045,0.012555632804053063
Anxiety model,withdrawal_T2,1.6056528760382847,0.22801393881067217,7.041906667695055,6.446574447927267e-12
Anxiety model,offline_bullying_T1,0.2831197841013431,0.26278870553417605,1.0773666376788897,0.2818466141811435
Anxiety model,cyberbullying_T1,0.4978903655547059,0.3288885861940098,1.5138572345012993,0.13070678199541141
Anxiety model,anxiety_T1,0.8694265393849032,0.0450426428275397,19.302298551037147,3.6737085770034377e-62
Anxiety model,age,-0.061441622328675144,0.051570637443773666,-1.1914070753083787,0.23407057331080758
Anxiety model,gender,-0.0330070980860277,0.2458384714639023,-0.13426335548492171,0.8932494571047285
Anxiety model,parent_edu,-0.2252427131391061,0.2795204339536623,-0.8058184153236034,0.4207384363315053
Anxiety model,low_income,-0.25592541875453095,0.3009797058135901,-0.8503078905693288,0.3955692220267878
Anxiety model,recruit_source,0.06675656703523203,0.28272193072086127,0.23612093644458917,0.8134374922178028
Stress model,const,-7.845139083109951,1.7947980139337698,-4.37104288182004,1.5107862691557745e-05
Stress model,withdrawal_T2,2.595087844794489,0.3392077418646986,7.650438137197954,1.0703686107328146e-13
Stress model,offline_bullying_T1,0.5945431241526817,0.3977968369217193,1.4945898734475842,0.13566520035426796
Stress model,cyberbullying_T1,-0.5902053825605097,0.49429519438820607,-1.1940342314899755,0.2330422904718239
Stress model,stress_T1,0.9817224657566325,0.044624053547837834,21.99984958121761,4.068251389520055e-75
Stress model,age,0.11824891376606922,0.0774880563259867,1.5260276147410967,0.12764816803118534
Stress model,gender,-0.5206522365518391,0.37011810161677683,-1.4067191911919146,0.16014458020352784
Stress model,parent_edu,-0.20794563676409467,0.42006702409138275,-0.49502966154957573,0.620801081306165
Stress model,low_income,0.07469062787708924,0.45252701261664785,0.16505230802732743,0.8689708797913618
Stress model,recruit_source,-0.03366400406287129,0.42323563239940665,-0.07953962635901751,0.9366358870638449
